,fes_youth,fes_p_ss_fc_pr,macv_p_ss_fs,macv_p_ss_fo,macv_p_ss_isr,macv_p_ss_fr,macv_p_ss_r,demo_prnt_age_v2,demo_prnt_marital_v2,demo_comb_income_v2,demo_fam_exp,demo_yrs_1,demo_yrs_2,parent_rules_q1,parent_rules_q4,parent_rules_q7,y
0,0,5.0,4.5,4.0,3.0,3.2,2.0,41.0,1,10,0,1,1,0,0,0,0
1,1,8.0,5.0,3.8,3.4,3.4,3.86,39.0,4,6,1,1,3,2,0,0,1
2,0,3.0,5.0,5.0,4.2,5.0,5.0,42.0,1,6,0,3,4,2,2,2,0
3,2,1.0,4.17,3.6,3.6,4.0,4.57,38.0,5,1,0,2,3,0,0,0,1
4,0,1.0,4.67,4.0,3.8,3.8,3.71,35.0,6,6,1,3,3,0,0,0,1
5,4,1.0,3.17,3.0,3.6,2.8,2.71,42.0,3,8,0,2,3,0,0,0,0
6,2,4.0,4.33,3.0,3.0,2.6,1.29,42.0,1,10,0,1,1,0,0,0,1
7,0,2.0,3.83,3.6,3.6,3.0,4.86,40.0,1,9,0,2,4,0,0,0,0
8,5,8.0,4.0,4.2,3.4,3.0,4.43,39.0,6,6,1,1,2,0,0,0,1
9,2,1.0,4.17,4.2,3.6,3.0,1.0,41.0,1,9,0,0,1,2,0,2,0
10,2,7.0,3.33,3.0,3.6,3.0,3.43,50.0,1,8,0,0,2,0,0,0,1
11,0,0.0,2.17,1.6,4.0,2.0,4.57,45.0,1,9,0,1,4,0,0,0,0
12,1,3.0,4.33,3.4,2.2,3.8,4.0,40.0,1,9,0,1,3,2,0,0,0
13,1,3.0,5.0,3.8,4.0,4.2,4.71,27.0,5,1,1,0,3,0,0,0,0
14,3,1.0,3.17,2.6,3.0,1.6,1.14,45.0,1,9,0,2,3,0,0,0,0
15,0,1.0,4.0,3.2,3.4,3.0,4.57,41.0,1,9,0,4,4,0,0,0,0
16,1,3.0,4.17,3.8,3.8,3.6,3.0,36.0,1,10,0,1,2,0,0,0,0
17,4,1.0,5.0,4.0,3.6,3.6,2.14,33.0,1,6,1,0,1,0,0,0,0
18,6,3.0,3.83,3.6,3.6,3.4,1.86,40.0,1,8,0,1,1,0,0,0,1
19,2,3.0,4.0,4.0,3.2,2.6,1.29,39.0,3,8,0,0,1,0,0,0,1
20,0,3.0,4.0,4.0,3.4,4.4,1.43,44.0,1,9,0,0,2,0,0,0,0
21,1,0.0,3.67,3.4,3.4,2.6,1.86,47.0,1,9,0,0,2,2,0,2,0
22,4,6.0,3.33,2.8,3.2,1.6,2.71,52.0,1,9,0,2,3,2,2,2,1
23,0,5.0,5.0,4.2,3.2,4.6,5.0,39.0,1,9,0,3,4,0,0,0,0
24,1,5.0,3.67,3.0,3.2,3.0,1.0,44.0,1,9,0,1,2,2,2,2,0
25,0,0.0,4.17,2.8,3.4,3.0,3.57,40.0,1,9,0,2,3,0,0,0,0
26,0,2.0,3.17,3.0,3.2,3.2,1.0,48.0,1,10,0,0,1,0,0,0,0
27,1,1.0,4.5,3.6,4.6,3.8,4.29,54.0,1,8,0,3,3,0,0,0,0
28,1,1.0,3.83,3.6,3.0,2.4,2.57,47.0,1,10,0,1,3,0,0,0,0
29,2,5.0,4.17,3.8,3.6,3.6,1.14,38.0,1,8,0,0,1,0,0,0,1
30,4,4.0,3.5,3.2,2.2,3.4,4.57,36.0,5,7,1,2,2,0,0,0,1
31,3,4.0,4.0,3.2,3.2,3.8,4.0,43.0,1,9,0,1,3,2,2,0,0
32,7,2.0,4.83,4.0,3.4,3.0,1.0,42.0,1,9,0,0,1,0,0,2,0
33,1,7.0,4.0,3.4,3.8,3.4,4.71,38.0,1,7,1,2,4,0,0,2,1
34,1,2.0,5.0,3.8,3.6,4.6,3.43,26.0,6,2,1,0,1,1,0,0,1
35,2,4.0,4.83,5.0,4.6,4.6,5.0,44.0,1,7,0,4,4,0,0,0,0
36,2,2.0,4.67,3.2,3.0,3.0,5.0,32.0,1,5,0,3,4,0,0,0,0
37,1,4.0,3.67,3.0,2.8,2.6,3.57,40.0,1,9,0,1,3,0,0,0,0
38,2,7.0,4.0,4.2,4.6,3.4,1.43,41.0,1,10,0,1,1,0,0,2,1
39,0,2.0,4.17,3.8,4.0,3.4,3.57,38.0,4,1,1,1,3,0,0,0,0
40,4,2.0,4.17,2.8,4.0,2.2,3.57,36.0,1,9,0,3,4,0,0,0,0
